,0,1,2
1542,CD8 Naive,CD8+ Naive T,CD8 Naive
1543,NK cell,NK cell,NK
1544,CD8 effector,CD8+ Effector Memory T,CD8 TEM
1545,CD4 Memory,CD4+ Central Memory T,CD4 TCM
1546,CD14+ Monocytes,CD14+ Monocytes,CD14 Mono
1547,CD14+ Monocytes,CD14+ Monocytes,CD14 Mono
1548,CD8 Naive,CD8+ Naive T,CD8 Naive
1549,CD4 Memory,CD8+ Effector Memory T,CD8 TEM
1550,B cell progenitor,Dendritic Cells,B intermediate
1551,CD4 Naive,CD4+ Naive T,CD4 Naive
1552,pre-B cell,Dendritic Cells,B naive
1553,CD8 Naive,CD8+ Naive T,CD8 Naive
1554,CD4 Memory,CD4+ Central Memory T,CD4 TCM
1555,CD14+ Monocytes,CD14+ Monocytes,CD14 Mono
1556,CD14+ Monocytes,CD14+ Monocytes,CD14 Mono
1557,CD14+ Monocytes,CD14+ Monocytes,CD14 Mono
1558,CD14+ Monocytes,CD14+ Monocytes,CD14 Mono
1559,pre-B cell,Dendritic Cells,B naive
1560,CD8 Naive,CD8+ Naive T,CD8 Naive
1561,NK cell,NK cell,NK
1562,CD4 Memory,CD4+ Central Memory T,CD4 TCM
1563,CD4 Naive,CD4+ Naive T,CD4 Naive
1564,CD14+ Monocytes,CD14+ Monocytes,CD14 Mono
1565,CD8 effector,CD8+ Effector Memory T,CD8 TEM
1566,NK cell,NK cell,NK
1567,CD4 Naive,CD4+ Naive T,CD4 Naive
1568,CD14+ Monocytes,CD14+ Monocytes,CD14 Mono
1569,CD14+ Monocytes,CD14+ Monocytes,CD14 Mono
1570,CD4 Naive,CD4+ Naive T,CD4 Naive
1571,CD4 Naive,CD4+ Naive T,CD4 Naive
1572,CD16+ Monocytes,Dendritic Cells,CD16 Mono
1573,CD8 Naive,CD8+ Naive T,CD8 Naive
1574,CD14+ Monocytes,CD14+ Monocytes,CD14 Mono
1575,CD8 effector,CD8+ Effector Memory T,CD8 TEM
1576,CD14+ Monocytes,CD14+ Monocytes,CD14 Mono
1577,CD4 Naive,CD4+ Naive T,CD4 Naive
1578,Dendritic cell,Dendritic Cells,cDC2
1579,CD14+ Monocytes,CD14+ Monocytes,CD14 Mono
1580,CD4 Naive,CD4+ Naive T,CD4 Naive
1581,CD14+ Monocytes,CD14+ Monocytes,CD14 Mono
1582,CD14+ Monocytes,CD14+ Monocytes,CD14 Mono
1583,CD8 effector,CD8+ Effector Memory T,CD8 TEM
1584,CD4 Memory,CD4+ Central Memory T,CD4 TCM
1585,CD4 Memory,CD4+ Central Memory T,CD4 TCM
1586,CD4 Memory,CD4+ Central Memory T,CD4 TCM
1587,pre-B cell,Dendritic Cells,B naive
1588,CD16+ Monocytes,Dendritic Cells,CD16 Mono
1589,CD14+ Monocytes,CD14+ Monocytes,CD14 Mono
1590,CD14+ Monocytes,CD14+ Monocytes,CD14 Mono
1591,CD14+ Monocytes,CD14+ Monocytes,CD14 Mono
1592,NK cell,NK cell,NK
1593,Dendritic cell,Dendritic Cells,cDC2
1594,CD8 Naive,CD8+ Naive T,CD8 Naive
1595,CD4 Memory,CD4+ Central Memory T,CD4 TCM
1596,CD4 Memory,CD4+ Central Memory T,CD4 TCM
1597,CD4 Naive,CD4+ Naive T,CD4 Naive
1598,B cell progenitor,Dendritic Cells,B intermediate
1599,CD8 Naive,CD8+ Naive T,CD8 Naive
1600,CD4 Memory,CD4+ Central Memory T,CD4 TCM
1601,CD4 Memory,CD4+ Naive T,CD4 Naive
1602,CD14+ Monocytes,CD14+ Monocytes,CD14 Mono
1603,CD8 Naive,CD8+ Naive T,CD8 Naive
1604,CD8 effector,CD8+ Effector Memory T,CD8 TEM
1605,CD14+ Monocytes,CD14+ Monocytes,CD14 Mono
1606,CD4 Naive,CD4+ Naive T,CD4 Naive
1607,CD4 Naive,CD4+ Naive T,CD4 Naive
1608,CD4 Memory,CD4+ Central Memory T,CD4 TCM
1609,CD14+ Monocytes,CD14+ Monocytes,CD14 Mono
1610,Dendritic cell,Dendritic Cells,cDC2
1611,pre-B cell,Dendritic Cells,B naive
1612,CD8 Naive,CD8+ Naive T,CD8 Naive
1613,CD14+ Monocytes,CD14+ Monocytes,CD14 Mono
1614,CD4 Memory,CD4+ Central Memory T,CD4 TCM
1615,NK cell,NK cell,NK
1616,CD16+ Monocytes,CD14+ Monocytes,CD14 Mono
1617,NK cell,NK cell,NK
1618,CD4 Memory,CD4+ Central Memory T,CD4 TCM
1619,Double negative T cell,CD8+ Effector Memory T,CD8 TEM
1620,CD4 Naive,CD4+ Naive T,CD4 Naive
1621,CD14+ Monocytes,CD14+ Monocytes,CD14 Mono
1622,Double negative T cell,CD8+ Effector Memory T,CD4 TEM
1623,CD14+ Monocytes,CD14+ Monocytes,CD14 Mono
1624,CD4 Naive,CD4+ Naive T,CD4 Naive
1625,CD4 Naive,CD4+ Naive T,CD4 Naive
1626,CD4 Memory,CD4+ Naive T,CD4 Naive
1627,CD4 Naive,CD4+ Naive T,CD4 Naive
1628,Dendritic cell,Dendritic Cells,cDC2
1629,Dendritic cell,Dendritic Cells,cDC2
1630,CD14+ Monocytes,CD14+ Monocytes,CD14 Mono
1631,CD14+ Monocytes,CD14+ Monocytes,CD14 Mono
1632,CD16+ Monocytes,Dendritic Cells,CD16 Mono
1633,CD4 Naive,CD4+ Naive T,CD4 Naive
1634,CD4 Memory,CD4+ Naive T,CD4 Naive
1635,CD8 effector,CD8+ Effector Memory T,CD8 TEM
1636,CD14+ Monocytes,CD14+ Monocytes,CD14 Mono
1637,CD8 Naive,CD8+ Naive T,CD8 Naive
1638,CD4 Naive,CD4+ Naive T,CD4 Naive
1639,CD4 Naive,CD4+ Naive T,CD4 Naive
1640,CD8 Naive,CD8+ Naive T,CD8 Naive
1641,CD4 Memory,CD4+ Naive T,CD4 Naive
1642,CD4 Memory,CD4+ Naive T,CD4 Naive
1643,pDC,pDC,pDC
1644,CD8 Naive,CD8+ Naive T,CD8 Naive
1645,CD4 Naive,CD4+ Naive T,CD4 Naive
1646,CD4 Naive,CD4+ Naive T,CD4 Naive
1647,CD4 Memory,CD4+ Central Memory T,CD4 TCM
1648,B cell progenitor,Dendritic Cells,B intermediate
1649,CD14+ Monocytes,CD14+ Monocytes,CD14 Mono
1650,CD4 Naive,CD4+ Naive T,CD4 Naive
1651,CD8 effector,CD8+ Effector Memory T,CD8 TEM
1652,CD4 Memory,CD4+ Central Memory T,CD4 TCM
1653,CD8 effector,CD8+ Effector Memory T,CD8 TEM
1654,CD14+ Monocytes,CD14+ Monocytes,CD14 Mono
1655,CD14+ Monocytes,CD14+ Monocytes,CD14 Mono
1656,CD4 Naive,CD8+ Naive T,CD8 Naive
1657,CD4 Naive,CD4+ Central Memory T,CD4 TCM
1658,CD4 Naive,CD4+ Naive T,CD4 Naive
1659,CD14+ Monocytes,CD14+ Monocytes,CD14 Mono
1660,CD14+ Monocytes,CD14+ Monocytes,CD14 Mono
1661,CD14+ Monocytes,CD14+ Monocytes,CD14 Mono
1662,NK cell,NK cell,NK
1663,CD14+ Monocytes,CD14+ Monocytes,CD14 Mono
1664,CD8 Naive,CD8+ Naive T,CD8 Naive
1665,CD8 Naive,CD8+ Naive T,CD8 Naive
1666,pDC,pDC,pDC
1667,CD14+ Monocytes,CD14+ Monocytes,CD14 Mono
1668,CD14+ Monocytes,CD14+ Monocytes,CD14 Mono
1669,CD4 Naive,CD4+ Naive T,CD4 Naive
1670,CD4 Naive,CD4+ Naive T,CD4 Naive
1671,CD14+ Monocytes,CD14+ Monocytes,CD14 Mono
1672,B cell progenitor,Dendritic Cells,B intermediate
1673,CD14+ Monocytes,CD14+ Monocytes,CD14 Mono
1674,CD4 Memory,CD4+ Central Memory T,CD4 TCM
1675,CD4 Naive,CD4+ Naive T,CD4 Naive
1676,,CD4+ Naive T,CD4 Naive
1677,NK cell,NK cell,NK
1678,Dendritic cell,Dendritic Cells,cDC2
1679,CD8 Naive,CD8+ Naive T,CD8 Naive
1680,CD4 Memory,CD4+ Naive T,CD4 Naive
1681,CD4 Memory,CD4+ Central Memory T,CD4 TCM
1682,CD8 Naive,CD8+ Effector Memory T,CD8 TEM
1683,CD4 Naive,CD4+ Naive T,CD4 Naive
1684,CD14+ Monocytes,CD14+ Monocytes,CD14 Mono
1685,CD8 effector,CD8+ Effector Memory T,CD8 TEM
1686,CD4 Naive,CD4+ Naive T,CD4 Naive
1687,CD4 Memory,CD4+ Central Memory T,CD4 TCM
1688,CD4 Memory,CD4+ Naive T,CD4 Naive
1689,CD14+ Monocytes,CD14+ Monocytes,CD14 Mono
1690,CD4 Naive,CD4+ Naive T,CD4 Naive
1691,CD4 Memory,CD8+ Effector Memory T,CD8 TEM
1692,CD4 Naive,CD8+ Naive T,CD8 Naive
1693,CD14+ Monocytes,CD14+ Monocytes,CD14 Mono
1694,CD14+ Monocytes,CD14+ Monocytes,CD14 Mono
1695,CD14+ Monocytes,CD14+ Monocytes,CD14 Mono
1696,CD8 effector,CD8+ Effector Memory T,CD8 TEM
1697,CD8 Naive,CD8+ Naive T,CD8 Naive
1698,,CD8+ Effector Memory T,CD8 TEM
1699,CD14+ Monocytes,CD14+ Monocytes,CD14 Mono
1700,CD4 Naive,CD4+ Naive T,CD4 Naive
1701,CD8 effector,CD8+ Effector Memory T,CD8 TEM
1702,pDC,pDC,pDC
1703,B cell progenitor,Dendritic Cells,B intermediate
1704,CD4 Memory,CD4+ Central Memory T,CD4 TCM
1705,CD4 Naive,CD4+ Naive T,CD4 Naive
1706,CD4 Memory,CD4+ Naive T,CD4 Naive
1707,CD4 Naive,CD4+ Naive T,CD4 Naive
1708,CD14+ Monocytes,CD14+ Monocytes,CD14 Mono
1709,CD14+ Monocytes,CD14+ Monocytes,CD14 Mono
1710,CD8 Naive,CD8+ Naive T,CD8 Naive
1711,pre-B cell,Dendritic Cells,B naive
1712,CD4 Memory,CD4+ Central Memory T,CD4 TCM
1713,CD4 Memory,CD4+ Central Memory T,CD4 TCM
1714,CD14+ Monocytes,CD14+ Monocytes,CD14 Mono
1715,B cell progenitor,Dendritic Cells,B intermediate
1716,CD8 Naive,CD8+ Effector Memory T,CD8 TEM
1717,CD4 Naive,CD4+ Naive T,CD4 Naive
1718,CD14+ Monocytes,CD14+ Monocytes,CD14 Mono
1719,CD8 Naive,CD8+ Naive T,CD8 Naive
1720,CD14+ Monocytes,CD14+ Monocytes,CD14 Mono
1721,CD14+ Monocytes,CD14+ Monocytes,CD14 Mono
1722,CD8 Naive,CD8+ Effector Memory T,CD8 TEM
1723,CD4 Memory,CD4+ Naive T,CD4 Naive
1724,CD14+ Monocytes,CD14+ Monocytes,CD14 Mono
1725,CD4 Naive,CD8+ Naive T,CD8 Naive
1726,CD14+ Monocytes,CD14+ Monocytes,CD14 Mono
1727,CD8 Naive,CD8+ Naive T,CD8 Naive
1728,Dendritic cell,Dendritic Cells,cDC2
1729,B cell progenitor,Dendritic Cells,B intermediate
1730,CD14+ Monocytes,CD14+ Monocytes,CD14 Mono
1731,pre-B cell,Dendritic Cells,B naive
1732,CD14+ Monocytes,CD14+ Monocytes,CD14 Mono
1733,CD4 Memory,CD4+ Central Memory T,CD4 TCM
1734,CD14+ Monocytes,CD14+ Monocytes,CD14 Mono
1735,Double negative T cell,CD8+ Effector Memory T,CD4 TEM
1736,CD4 Memory,CD4+ Central Memory T,CD4 TCM
1737,CD14+ Monocytes,CD14+ Monocytes,CD14 Mono
1738,CD8 effector,CD8+ Effector Memory T,CD8 TEM
1739,CD14+ Monocytes,CD14+ Monocytes,CD14 Mono
1740,CD4 Naive,CD4+ Naive T,CD4 Naive
1741,CD14+ Monocytes,CD14+ Monocytes,CD14 Mono
1742,CD8 Naive,CD8+ Naive T,CD8 Naive
1743,CD8 effector,CD8+ Effector Memory T,CD8 TEM
1744,CD8 Naive,CD8+ Naive T,CD8 Naive
1745,CD14+ Monocytes,CD14+ Monocytes,CD14 Mono
1746,CD8 effector,CD8+ Effector Memory T,CD8 TEM
1747,CD4 Naive,CD4+ Naive T,CD4 Naive
1748,CD4 Memory,CD4+ Naive T,CD4 Naive
1749,CD14+ Monocytes,CD14+ Monocytes,CD14 Mono
1750,B cell progenitor,CD14+ Monocytes,CD14 Mono
1751,Dendritic cell,Dendritic Cells,cDC2
1752,CD8 Naive,CD8+ Naive T,CD8 Naive
1753,CD4 Naive,CD4+ Naive T,CD4 Naive
1754,CD16+ Monocytes,Dendritic Cells,CD16 Mono
1755,CD8 Naive,CD8+ Naive T,CD8 Naive
1756,CD14+ Monocytes,CD14+ Monocytes,CD14 Mono
1757,CD8 Naive,CD8+ Naive T,CD8 Naive
1758,NK cell,NK cell,NK
1759,NK cell,CD8+ Effector Memory T,CD8 TEM
1760,CD8 Naive,CD8+ Naive T,CD8 Naive
1761,CD4 Memory,CD4+ Central Memory T,CD4 TCM
1762,Dendritic cell,Dendritic Cells,cDC2
1763,CD4 Memory,CD4+ Naive T,CD4 Naive
1764,CD4 Memory,CD4+ Central Memory T,CD4 TCM
1765,CD4 Naive,CD4+ Naive T,CD4 Naive
1766,CD4 Memory,CD4+ Central Memory T,CD4 TCM
1767,pDC,pDC,pDC
1768,CD8 effector,CD8+ Effector Memory T,CD8 TEM
1769,CD14+ Monocytes,CD14+ Monocytes,CD14 Mono
1770,CD4 Naive,CD8+ Effector Memory T,CD8 TEM
1771,CD4 Naive,CD4+ Naive T,CD4 Naive
1772,CD14+ Monocytes,CD14+ Monocytes,CD14 Mono
1773,pre-B cell,Dendritic Cells,B naive
1774,CD4 Memory,CD4+ Naive T,CD4 Naive
1775,CD14+ Monocytes,CD14+ Monocytes,CD14 Mono
1776,pre-B cell,Dendritic Cells,B naive
1777,CD14+ Monocytes,CD14+ Monocytes,CD14 Mono
1778,CD14+ Monocytes,CD14+ Monocytes,CD14 Mono
1779,pre-B cell,Dendritic Cells,B naive
1780,CD4 Naive,CD4+ Naive T,CD4 Naive
1781,B cell progenitor,Dendritic Cells,B intermediate
1782,CD14+ Monocytes,CD14+ Monocytes,CD14 Mono
1783,B cell progenitor,Dendritic Cells,B intermediate
1784,CD14+ Monocytes,CD14+ Monocytes,CD14 Mono
1785,CD4 Naive,CD4+ Naive T,CD4 Naive
1786,CD4 Naive,CD4+ Naive T,CD4 Naive
1787,B cell progenitor,Dendritic Cells,B intermediate
1788,pre-B cell,Dendritic Cells,B naive
1789,CD4 Naive,CD4+ Naive T,CD4 Naive
1790,CD16+ Monocytes,Dendritic Cells,CD16 Mono
1791,CD4 Memory,CD4+ Central Memory T,CD4 TCM
1792,CD14+ Monocytes,CD14+ Monocytes,CD14 Mono
1793,CD8 Naive,CD8+ Naive T,CD8 Naive
1794,CD4 Memory,CD4+ Central Memory T,CD4 TCM
1795,CD14+ Monocytes,CD14+ Monocytes,CD14 Mono
1796,CD4 Memory,CD4+ Naive T,CD4 Naive
1797,B cell progenitor,Dendritic Cells,B intermediate
1798,NK cell,NK cell,NK
1799,CD8 Naive,CD8+ Naive T,CD8 Naive
1800,CD4 Naive,CD4+ Naive T,CD4 Naive
1801,CD4 Memory,CD4+ Central Memory T,CD4 TCM
1802,CD14+ Monocytes,CD14+ Monocytes,CD14 Mono
1803,CD14+ Monocytes,CD14+ Monocytes,CD14 Mono
1804,CD4 Memory,CD4+ Naive T,CD4 Naive
1805,CD4 Memory,CD4+ Naive T,CD4 Naive
1806,CD14+ Monocytes,CD14+ Monocytes,CD14 Mono
1807,CD4 Memory,CD4+ Central Memory T,CD4 TCM
1808,CD14+ Monocytes,CD14+ Monocytes,CD14 Mono
1809,CD8 effector,CD8+ Effector Memory T,CD8 TEM
1810,CD8 effector,CD8+ Effector Memory T,CD8 TEM
1811,Dendritic cell,Dendritic Cells,cDC2
1812,,CD14+ Monocytes,CD14 Mono
1813,CD4 Memory,CD4+ Central Memory T,CD4 TCM
1814,CD4 Memory,CD4+ Central Memory T,CD4 TCM
1815,CD4 Naive,CD4+ Naive T,CD4 Naive
1816,CD8 Naive,CD8+ Naive T,CD8 Naive
1817,CD14+ Monocytes,CD14+ Monocytes,CD14 Mono
1818,CD8 Naive,CD8+ Naive T,CD8 Naive
1819,CD4 Memory,CD4+ Central Memory T,CD4 TCM
1820,CD14+ Monocytes,CD14+ Monocytes,CD14 Mono
1821,CD14+ Monocytes,CD14+ Monocytes,CD14 Mono
1822,CD4 Memory,CD4+ Naive T,CD4 Naive
1823,CD4 Naive,CD4+ Naive T,CD4 Naive
1824,CD4 Naive,CD4+ Naive T,CD4 Naive
1825,B cell progenitor,Dendritic Cells,B intermediate
1826,CD16+ Monocytes,Dendritic Cells,CD16 Mono
1827,CD4 Naive,CD4+ Naive T,CD4 Naive
1828,CD8 Naive,CD8+ Naive T,CD8 Naive
1829,CD14+ Monocytes,CD14+ Monocytes,CD14 Mono
1830,CD4 Naive,CD4+ Naive T,CD4 Naive
1831,CD14+ Monocytes,CD14+ Monocytes,CD14 Mono
1832,CD4 Memory,CD4+ Naive T,CD4 Naive
1833,CD8 effector,CD8+ Effector Memory T,CD8 TEM
1834,CD4 Memory,CD4+ Central Memory T,CD4 TCM
1835,CD4 Naive,CD4+ Naive T,CD4 Naive
1836,CD8 Naive,CD8+ Naive T,CD8 Naive
1837,CD14+ Monocytes,CD14+ Monocytes,CD14 Mono
1838,,CD14+ Monocytes,CD14 Mono
1839,CD4 Naive,CD4+ Naive T,CD4 Naive
1840,CD4 Memory,CD4+ Naive T,CD4 Naive
1841,CD14+ Monocytes,CD14+ Monocytes,CD14 Mono
1842,Dendritic cell,Dendritic Cells,cDC2
1843,CD14+ Monocytes,CD14+ Monocytes,CD14 Mono
1844,CD14+ Monocytes,CD14+ Monocytes,CD14 Mono
1845,CD8 Naive,CD8+ Naive T,CD8 Naive
1846,CD14+ Monocytes,CD14+ Monocytes,CD14 Mono
1847,CD4 Memory,CD4+ Central Memory T,CD4 TCM
1848,CD4 Memory,CD4+ Central Memory T,CD4 TCM
1849,CD8 effector,CD8+ Effector Memory T,CD8 TEM
1850,CD4 Memory,CD4+ Central Memory T,CD4 TCM
1851,CD4 Naive,CD4+ Naive T,CD4 Naive
1852,pre-B cell,Dendritic Cells,B naive
1853,CD14+ Monocytes,CD14+ Monocytes,CD14 Mono
1854,B cell progenitor,Dendritic Cells,B intermediate
1855,CD14+ Monocytes,CD14+ Monocytes,CD14 Mono
1856,CD8 effector,CD8+ Effector Memory T,CD8 TEM
1857,pre-B cell,Dendritic Cells,B naive
1858,CD14+ Monocytes,CD14+ Monocytes,CD14 Mono
1859,CD14+ Monocytes,CD14+ Monocytes,CD14 Mono
1860,CD8 Naive,CD8+ Naive T,CD8 Naive
1861,CD8 Naive,CD8+ Naive T,CD8 Naive
1862,CD4 Memory,CD4+ Central Memory T,CD4 TCM
1863,CD14+ Monocytes,CD14+ Monocytes,CD14 Mono
1864,CD14+ Monocytes,CD14+ Monocytes,CD14 Mono
1865,CD14+ Monocytes,CD14+ Monocytes,CD14 Mono
1866,B cell progenitor,Dendritic Cells,B intermediate
1867,CD8 Naive,CD8+ Naive T,CD8 Naive
1868,CD16+ Monocytes,Dendritic Cells,CD16 Mono
1869,NK cell,NK cell,NK
1870,CD8 effector,CD8+ Effector Memory T,CD8 TEM
1871,CD14+ Monocytes,CD14+ Monocytes,CD14 Mono
1872,pre-B cell,Dendritic Cells,B naive
1873,CD8 effector,CD8+ Effector Memory T,CD8 TEM
1874,CD16+ Monocytes,Dendritic Cells,CD16 Mono
1875,CD4 Naive,CD4+ Naive T,CD4 Naive
1876,CD4 Naive,CD4+ Naive T,CD4 Naive
1877,CD4 Memory,CD4+ Naive T,CD4 Naive
1878,CD14+ Monocytes,CD14+ Monocytes,CD14 Mono
1879,CD8 Naive,CD8+ Naive T,CD8 Naive
1880,Dendritic cell,Dendritic Cells,cDC2
1881,CD4 Naive,CD4+ Naive T,CD4 Naive
1882,CD4 Naive,CD4+ Naive T,CD4 Naive
1883,CD14+ Monocytes,CD14+ Monocytes,CD14 Mono
1884,CD14+ Monocytes,CD14+ Monocytes,CD14 Mono
1885,CD8 Naive,CD8+ Naive T,CD8 Naive
1886,CD4 Memory,CD4+ Central Memory T,CD4 TCM
1887,CD8 Naive,CD8+ Naive T,CD8 Naive
1888,CD14+ Monocytes,CD14+ Monocytes,CD14 Mono
1889,CD4 Memory,CD4+ Central Memory T,CD4 TCM
1890,CD16+ Monocytes,Dendritic Cells,CD16 Mono
1891,CD8 Naive,CD8+ Naive T,CD8 Naive
1892,CD4 Memory,CD4+ Central Memory T,CD4 TCM
1893,CD14+ Monocytes,CD14+ Monocytes,CD14 Mono
1894,CD14+ Monocytes,CD14+ Monocytes,CD14 Mono
1895,CD16+ Monocytes,Dendritic Cells,CD16 Mono
1896,CD8 Naive,CD8+ Naive T,CD8 Naive
1897,CD8 Naive,CD8+ Naive T,CD8 Naive
1898,B cell progenitor,CD14+ Monocytes,CD14 Mono
1899,CD8 Naive,CD8+ Naive T,CD8 Naive
1900,CD14+ Monocytes,CD14+ Monocytes,CD14 Mono
1901,CD8 Naive,CD8+ Naive T,CD8 Naive
1902,CD8 Naive,CD8+ Effector Memory T,CD8 TEM
1903,CD14+ Monocytes,CD14+ Monocytes,CD14 Mono
1904,NK cell,NK cell,NK
1905,CD14+ Monocytes,CD14+ Monocytes,CD14 Mono
1906,CD4 Memory,CD4+ Naive T,CD4 Naive
1907,CD8 effector,CD8+ Effector Memory T,CD8 TEM
1908,CD4 Memory,CD4+ Naive T,CD4 Naive
1909,CD14+ Monocytes,CD14+ Monocytes,CD14 Mono
1910,CD14+ Monocytes,CD14+ Monocytes,CD14 Mono
1911,CD4 Memory,CD4+ Naive T,CD4 Naive
1912,CD8 effector,CD8+ Effector Memory T,CD8 TEM
1913,CD14+ Monocytes,CD14+ Monocytes,CD14 Mono
1914,NK cell,CD8+ Effector Memory T,CD8 TEM
1915,CD4 Naive,CD4+ Naive T,CD4 Naive
1916,CD4 Memory,CD4+ Naive T,CD4 Naive
1917,B cell progenitor,Dendritic Cells,B intermediate
1918,B cell progenitor,Dendritic Cells,B intermediate
1919,NK cell,NK cell,NK
1920,CD8 Naive,CD8+ Naive T,CD8 Naive
1921,CD8 Naive,CD8+ Naive T,CD8 Naive
1922,CD8 effector,CD8+ Effector Memory T,CD8 TEM
1923,CD14+ Monocytes,CD14+ Monocytes,CD14 Mono
1924,CD4 Memory,CD4+ Central Memory T,CD4 TCM
1925,CD8 Naive,CD8+ Naive T,CD8 Naive
1926,CD4 Naive,CD4+ Naive T,CD4 Naive
1927,CD16+ Monocytes,Dendritic Cells,CD16 Mono
1928,CD4 Naive,CD4+ Naive T,CD4 Naive
1929,CD8 effector,CD8+ Effector Memory T,CD8 TEM
1930,CD14+ Monocytes,CD14+ Monocytes,CD14 Mono
1931,B cell progenitor,Dendritic Cells,B intermediate
1932,CD8 Naive,CD8+ Naive T,CD8 Naive
1933,CD8 Naive,CD8+ Naive T,CD8 Naive
1934,CD14+ Monocytes,CD14+ Monocytes,CD14 Mono
1935,CD8 Naive,CD8+ Naive T,CD8 Naive
1936,CD8 Naive,CD8+ Naive T,CD8 Naive
1937,CD8 Naive,CD8+ Naive T,CD8 Naive
1938,CD4 Naive,CD4+ Naive T,CD4 Naive
1939,CD14+ Monocytes,CD14+ Monocytes,CD14 Mono
1940,CD4 Memory,CD4+ Central Memory T,CD4 TCM
1941,Double negative T cell,CD8+ Effector Memory T,CD4 TEM
1942,CD8 Naive,CD8+ Naive T,CD8 Naive
1943,CD4 Memory,CD4+ Central Memory T,CD4 TCM
1944,CD14+ Monocytes,CD14+ Monocytes,CD14 Mono
1945,CD8 effector,CD8+ Effector Memory T,CD8 TEM
1946,Dendritic cell,CD14+ Monocytes,CD14 Mono
1947,CD14+ Monocytes,CD14+ Monocytes,CD14 Mono
1948,CD14+ Monocytes,CD14+ Monocytes,CD14 Mono
1949,B cell progenitor,Dendritic Cells,B intermediate
1950,CD4 Naive,CD4+ Naive T,CD4 Naive
1951,CD14+ Monocytes,CD14+ Monocytes,CD14 Mono
1952,,CD14+ Monocytes,CD14 Mono
1953,B cell progenitor,Dendritic Cells,B intermediate
1954,Dendritic cell,Dendritic Cells,cDC2
1955,CD14+ Monocytes,CD14+ Monocytes,CD14 Mono
1956,CD4 Naive,CD4+ Naive T,CD4 Naive
1957,CD14+ Monocytes,CD14+ Monocytes,CD14 Mono
1958,CD8 Naive,CD8+ Naive T,CD8 Naive
1959,pre-B cell,Dendritic Cells,B naive
1960,CD8 Naive,CD8+ Naive T,CD8 Naive
1961,NK cell,NK cell,NK
1962,CD4 Memory,CD4+ Central Memory T,CD4 TCM
1963,CD14+ Monocytes,CD14+ Monocytes,CD14 Mono
1964,CD4 Naive,CD4+ Naive T,CD4 Naive
1965,CD4 Memory,CD4+ Naive T,CD4 Naive
1966,CD8 effector,CD8+ Effector Memory T,CD8 TEM
1967,CD4 Memory,CD4+ Naive T,CD4 Naive
1968,pre-B cell,Dendritic Cells,B naive
1969,CD14+ Monocytes,CD14+ Monocytes,CD14 Mono
1970,CD14+ Monocytes,CD14+ Monocytes,CD14 Mono
1971,CD14+ Monocytes,CD14+ Monocytes,CD14 Mono
1972,pre-B cell,Dendritic Cells,B naive
1973,CD14+ Monocytes,CD14+ Monocytes,CD14 Mono
1974,CD14+ Monocytes,CD14+ Monocytes,CD14 Mono
1975,CD4 Naive,CD4+ Naive T,CD4 Naive
1976,Dendritic cell,Dendritic Cells,cDC2
1977,CD4 Naive,CD4+ Naive T,CD4 Naive
1978,CD8 Naive,CD8+ Naive T,CD8 Naive
1979,CD16+ Monocytes,Dendritic Cells,CD16 Mono
1980,pre-B cell,Dendritic Cells,B naive
1981,B cell progenitor,pDC,Plasmablast
1982,pre-B cell,Dendritic Cells,B naive
1983,CD14+ Monocytes,CD14+ Monocytes,CD14 Mono
1984,CD8 effector,CD4+ Central Memory T,CD4 TCM
1985,CD4 Naive,CD4+ Naive T,CD4 Naive
1986,Double negative T cell,CD8+ Effector Memory T,CD4 TEM
1987,CD4 Memory,CD4+ Central Memory T,CD4 TCM
1988,CD4 Naive,CD4+ Naive T,CD4 Naive
1989,CD8 Naive,CD8+ Naive T,CD8 Naive
1990,CD14+ Monocytes,CD14+ Monocytes,CD14 Mono
1991,CD14+ Monocytes,CD14+ Monocytes,CD14 Mono
1992,CD14+ Monocytes,CD14+ Monocytes,CD14 Mono
1993,CD14+ Monocytes,CD14+ Monocytes,CD14 Mono
1994,CD4 Naive,CD4+ Naive T,CD4 Naive
1995,B cell progenitor,Dendritic Cells,B intermediate
1996,CD4 Naive,CD4+ Naive T,CD4 Naive
1997,CD8 effector,CD8+ Effector Memory T,CD8 TEM
1998,CD4 Naive,CD4+ Naive T,CD4 Naive
1999,CD4 Memory,CD4+ Central Memory T,CD4 TCM
2000,CD4 Naive,CD4+ Naive T,CD4 Naive
2001,CD4 Naive,CD4+ Naive T,CD4 Naive
2002,CD14+ Monocytes,CD14+ Monocytes,CD14 Mono
2003,CD4 Memory,CD4+ Central Memory T,CD4 TCM
2004,CD14+ Monocytes,CD14+ Monocytes,CD14 Mono
2005,CD4 Naive,CD4+ Naive T,CD4 Naive
2006,CD8 Naive,CD8+ Naive T,CD8 Naive
2007,CD4 Naive,CD4+ Naive T,CD4 Naive
2008,CD4 Memory,CD4+ Central Memory T,CD4 TCM
2009,CD4 Naive,CD4+ Naive T,CD4 Naive
2010,NK cell,NK cell,NK
2011,CD4 Naive,CD4+ Naive T,CD4 Naive
2012,CD8 Naive,CD8+ Naive T,CD8 Naive
2013,CD4 Memory,CD4+ Naive T,CD4 Naive
2014,CD4 Memory,CD4+ Naive T,CD4 Naive
2015,CD8 effector,CD8+ Effector Memory T,CD8 TEM
